fecha,modo,politica,dataset,lat_p50_ms,lat_p99_ms,throughput,rdb_bytes,aof_bytes,evicted_keys
2025-06-19T17:53:05.620585,rdb,allkeys_random,500000,0.362,0.682,2304.2,10103788,52637339,0
2025-06-19T17:54:09.593220,rdb,allkeys_random,100000,0.431,1.543,1631.6,2012325,52637339,0
2025-06-19T18:01:47.341656,rdb,allkeys_random,1000000,0.376,0.715,2207.7,20211822,52637339,0
2025-06-19T18:06:30.859989,rdb,allkeys_lru,500000,0.477,0.761,1787.9,10160085,52637339,0
2025-06-19T18:07:43.113669,rdb,allkeys_lru,100000,0.607,0.882,1445.7,2020864,52637339,0
2025-06-19T18:21:23.380737,rdb,allkeys_lru,1000000,0.710,1.055,1226.2,20431458,52637339,0
2025-06-19T18:28:45.269614,rdb,noeviction,500000,0.753,1.157,1144.9,10232522,52637339,0
2025-06-19T18:30:17.076303,rdb,noeviction,100000,0.757,1.189,1135.9,2027981,52637339,0
2025-06-19T18:44:36.510631,rdb,noeviction,1000000,0.728,1.214,1170.5,20443705,52637339,0
2025-06-19T18:51:24.922530,rdb,allkeys_lfu,500000,0.684,1.184,1240.5,10219140,52637339,0
2025-06-19T18:52:45.634741,rdb,allkeys_lfu,100000,0.658,1.104,1299.5,2023089,52637339,0
2025-06-19T19:05:44.917001,rdb,allkeys_lfu,1000000,0.650,1.157,1291.5,20407561,52637339,0
2025-06-19T19:12:23.729716,aof_everysec,allkeys_random,500000,0.649,1.699,1270.7,20407561,10208499,0
2025-06-19T19:14:04.582220,aof_everysec,allkeys_random,100000,0.859,1.318,1027.4,10208453,2031782,0
2025-06-19T19:30:21.307223,aof_everysec,allkeys_random,1000000,0.859,1.320,1028.8,2031692,20486788,0
2025-06-19T19:36:30.411692,aof_everysec,allkeys_lru,500000,0.629,0.999,1373.1,20486698,10203611,0
2025-06-19T19:38:09.507117,aof_everysec,allkeys_lru,100000,0.847,1.288,1047.1,10203565,2031595,0
2025-06-19T19:54:15.288930,aof_everysec,allkeys_lru,1000000,0.847,1.308,1040.3,2031505,20486498,0
2025-06-19T20:00:21.358227,aof_everysec,noeviction,500000,0.619,1.012,1386.0,20486408,10200401,0
2025-06-19T20:01:57.096847,aof_everysec,noeviction,100000,0.814,1.255,1086.5,10200355,2031442,0
2025-06-19T20:17:24.641273,aof_everysec,noeviction,1000000,0.817,1.240,1083.5,2031352,20474269,0
2025-06-19T20:23:20.635004,aof_everysec,allkeys_lfu,500000,0.606,0.949,1423.9,20474179,10195293,0
2025-06-19T20:24:57.098621,aof_everysec,allkeys_lfu,100000,0.822,1.250,1076.6,10195247,2031261,0
2025-06-19T20:40:55.134133,aof_everysec,allkeys_lfu,1000000,0.838,1.295,1049.0,2031171,20481483,0
2025-06-19T20:47:36.195390,aof_always,allkeys_random,500000,0.617,1.592,1262.6,20481393,10203579,0
2025-06-19T20:49:43.450104,aof_always,allkeys_random,100000,1.127,1.630,807.8,10203533,2032440,0
2025-06-19T21:10:41.212616,aof_always,allkeys_random,1000000,1.121,1.709,798.3,2032350,20501049,0
2025-06-19T21:17:41.633529,aof_always,allkeys_lru,500000,0.624,2.176,1205.9,20500959,10205688,0
2025-06-19T21:19:09.273913,aof_always,allkeys_lru,100000,0.621,2.816,1190.7,10205642,2022715,0
2025-06-19T21:40:47.913559,aof_always,allkeys_lru,1000000,1.125,2.112,773.2,2022669,20501323,0
2025-06-19T21:47:37.930344,aof_always,noeviction,500000,0.603,2.751,1236.8,20501233,10195102,0
2025-06-19T21:49:46.120931,aof_always,noeviction,100000,1.116,1.625,804.7,10195056,2032416,0
2025-06-19T22:11:44.296438,aof_always,noeviction,1000000,1.121,2.397,761.7,2032326,20501873,0
2025-06-19T22:19:04.932923,aof_always,allkeys_lfu,500000,0.601,4.364,1150.7,20501783,10192450,0
2025-06-19T22:20:37.711110,aof_always,allkeys_lfu,100000,0.605,5.182,1125.6,10192404,2020315,0
2025-06-19T22:43:33.665511,aof_always,allkeys_lfu,1000000,1.125,3.994,730.0,2020269,20501617,0
2025-06-19T22:51:33.535652,mixto,allkeys_random,500000,0.609,6.305,1060.6,10197157,10197203,0
2025-06-19T22:53:26.911530,mixto,allkeys_random,100000,0.820,4.824,918.6,2030358,2030448,0
2025-06-19T23:12:21.501394,mixto,allkeys_random,1000000,0.820,7.311,888.4,20470766,20470858,0
2025-06-19T23:20:53.893809,mixto,allkeys_lru,500000,0.608,8.411,992.0,10194995,10195043,0
2025-06-19T23:22:41.472675,mixto,allkeys_lru,100000,0.612,8.409,974.5,2020856,2020904,0
2025-06-19T23:42:50.891906,mixto,allkeys_lru,1000000,0.820,8.603,833.8,20471194,20471286,0
2025-06-19T23:51:51.613455,mixto,noeviction,500000,0.610,7.796,940.6,10198101,10198149,0
2025-06-19T23:53:45.199915,mixto,noeviction,100000,0.613,10.435,921.5,2020994,2021042,0
2025-06-20T00:15:59.410391,mixto,noeviction,1000000,0.824,13.697,755.3,20476368,20476460,0
2025-06-20T00:25:32.720640,mixto,allkeys_lfu,500000,0.615,9.764,886.8,10197981,10198029,0
2025-06-20T00:27:32.737615,mixto,allkeys_lfu,100000,0.617,9.827,872.9,2022032,2022080,0
2025-06-20T00:50:10.264935,mixto,allkeys_lfu,1000000,0.830,17.970,742.5,20478329,20478421,0
